StandID;ForTyp;Structure_Class;Variant;Forest_Type;Structure_Class_Description
3931;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
3932;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
3933;368;3=UR;CA;Misc. western softwoods;Understory Reinitiation (3)
3935;996;1=SI;CA;NA;NA
3937;996;5=OS;CA;NA;Old Forest Single Stratum (5)
3939;996;2=SE;CA;NA;Stem Exclusion (2)
3940;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
3941;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
3943;901;3=UR;CA;Aspen;Understory Reinitiation (3)
3946;996;2=SE;CA;NA;Stem Exclusion (2)
3950;999;0=BG;CA;NA;Bare Ground (0)
3952;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
3957;221;3=UR;CA;Ponderosa pine;Understory Reinitiation (3)
3959;901;3=UR;CA;Aspen;Understory Reinitiation (3)
3960;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
3969;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
3970;221;3=UR;CA;Ponderosa pine;Understory Reinitiation (3)
3971;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
3972;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
3973;201;1=SI;CA;Douglas-fir;NA
3974;201;1=SI;CA;Douglas-fir;NA
3975;996;3=UR;CA;NA;Understory Reinitiation (3)
3978;304;2=SE;CA;Western redcedar;Stem Exclusion (2)
3979;304;2=SE;CA;Western redcedar;Stem Exclusion (2)
3980;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
3983;996;3=UR;CA;NA;Understory Reinitiation (3)
3985;301;2=SE;CA;Western hemlock;Stem Exclusion (2)
3986;261;2=SE;CA;White fir;Stem Exclusion (2)
3989;261;1=SI;CA;White fir;NA
3993;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
3994;901;2=SE;CA;Aspen;Stem Exclusion (2)
3996;901;2=SE;CA;Aspen;Stem Exclusion (2)
3997;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
3998;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
3999;996;3=UR;CA;NA;Understory Reinitiation (3)
4005;996;2=SE;CA;NA;Stem Exclusion (2)
4006;996;3=UR;CA;NA;Understory Reinitiation (3)
4008;368;6=OM;CA;Misc. western softwoods;Old Forest Multistrata (6)
4009;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4013;304;6=OM;CA;Western redcedar;Old Forest Multistrata (6)
4016;368;5=OS;CA;Misc. western softwoods;Old Forest Single Stratum (5)
4019;901;2=SE;CA;Aspen;Stem Exclusion (2)
4020;901;2=SE;CA;Aspen;Stem Exclusion (2)
4024;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4026;261;3=UR;CA;White fir;Understory Reinitiation (3)
4027;261;3=UR;CA;White fir;Understory Reinitiation (3)
4029;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
4030;261;3=UR;CA;White fir;Understory Reinitiation (3)
4032;368;1=SI;CA;Misc. western softwoods;NA
4034;201;5=OS;CA;Douglas-fir;Old Forest Single Stratum (5)
4036;261;2=SE;CA;White fir;Stem Exclusion (2)
4038;201;1=SI;CA;Douglas-fir;NA
4039;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4042;261;3=UR;CA;White fir;Understory Reinitiation (3)
4043;261;2=SE;CA;White fir;Stem Exclusion (2)
4044;201;1=SI;CA;Douglas-fir;NA
4046;304;3=UR;CA;Western redcedar;Understory Reinitiation (3)
4047;261;3=UR;CA;White fir;Understory Reinitiation (3)
4048;261;6=OM;CA;White fir;Old Forest Multistrata (6)
4050;261;6=OM;CA;White fir;Old Forest Multistrata (6)
4051;261;3=UR;CA;White fir;Understory Reinitiation (3)
4054;281;1=SI;CA;Lodgepole pine;NA
4056;367;3=UR;CA;Whitebark pine;Understory Reinitiation (3)
4057;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4060;281;1=SI;CA;Lodgepole pine;NA
4061;201;1=SI;CA;Douglas-fir;NA
4062;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4063;996;2=SE;CA;NA;Stem Exclusion (2)
4066;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4067;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4075;999;1=SI;CA;NA;NA
4078;261;3=UR;CA;White fir;Understory Reinitiation (3)
4079;221;3=UR;CA;Ponderosa pine;Understory Reinitiation (3)
4082;261;2=SE;CA;White fir;Stem Exclusion (2)
4083;368;3=UR;CA;Misc. western softwoods;Understory Reinitiation (3)
4088;221;6=OM;CA;Ponderosa pine;Old Forest Multistrata (6)
4089;201;1=SI;CA;Douglas-fir;NA
4092;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4093;261;4=YM;CA;White fir;Young Forest Multistrata (4)
4094;201;6=OM;CA;Douglas-fir;Old Forest Multistrata (6)
4096;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4097;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4103;261;6=OM;CA;White fir;Old Forest Multistrata (6)
4104;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4106;261;3=UR;CA;White fir;Understory Reinitiation (3)
4108;261;4=YM;CA;White fir;Young Forest Multistrata (4)
4109;368;1=SI;CA;Misc. western softwoods;NA
4111;261;3=UR;CA;White fir;Understory Reinitiation (3)
4113;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
4116;261;6=OM;CA;White fir;Old Forest Multistrata (6)
4117;304;2=SE;CA;Western redcedar;Stem Exclusion (2)
4118;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
4119;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4131;996;3=UR;CA;NA;Understory Reinitiation (3)
4139;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4142;201;1=SI;CA;Douglas-fir;NA
4143;221;3=UR;CA;Ponderosa pine;Understory Reinitiation (3)
4144;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4145;996;3=UR;CA;NA;Understory Reinitiation (3)
4147;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4151;368;5=OS;CA;Misc. western softwoods;Old Forest Single Stratum (5)
4177;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4181;201;6=OM;CA;Douglas-fir;Old Forest Multistrata (6)
4183;261;2=SE;CA;White fir;Stem Exclusion (2)
4187;201;5=OS;CA;Douglas-fir;Old Forest Single Stratum (5)
4189;241;3=UR;CA;Western white pine;Understory Reinitiation (3)
4207;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4222;301;2=SE;CA;Western hemlock;Stem Exclusion (2)
4227;261;2=SE;CA;White fir;Stem Exclusion (2)
4249;201;5=OS;CA;Douglas-fir;Old Forest Single Stratum (5)
4253;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4264;201;1=SI;CA;Douglas-fir;NA
4266;261;1=SI;CA;White fir;NA
4267;301;2=SE;CA;Western hemlock;Stem Exclusion (2)
4268;301;3=UR;CA;Western hemlock;Understory Reinitiation (3)
4269;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4270;261;2=SE;CA;White fir;Stem Exclusion (2)
4272;261;1=SI;CA;White fir;NA
4273;261;1=SI;CA;White fir;NA
4274;261;2=SE;CA;White fir;Stem Exclusion (2)
4275;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4276;281;1=SI;CA;Lodgepole pine;NA
4277;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
4278;261;2=SE;CA;White fir;Stem Exclusion (2)
4280;368;6=OM;CA;Misc. western softwoods;Old Forest Multistrata (6)
4281;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4282;304;6=OM;CA;Western redcedar;Old Forest Multistrata (6)
4283;304;5=OS;CA;Western redcedar;Old Forest Single Stratum (5)
4284;304;3=UR;CA;Western redcedar;Understory Reinitiation (3)
4287;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
4288;996;2=SE;CA;NA;Stem Exclusion (2)
4289;270;3=UR;CA;Mountain hemlock;Understory Reinitiation (3)
4292;261;2=SE;CA;White fir;Stem Exclusion (2)
4293;201;1=SI;CA;Douglas-fir;NA
4294;201;1=SI;CA;Douglas-fir;NA
4295;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4296;261;5=OS;CA;White fir;Old Forest Single Stratum (5)
4297;261;3=UR;CA;White fir;Understory Reinitiation (3)
4298;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4299;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4300;304;5=OS;CA;Western redcedar;Old Forest Single Stratum (5)
4301;368;3=UR;CA;Misc. western softwoods;Understory Reinitiation (3)
4303;261;3=UR;CA;White fir;Understory Reinitiation (3)
4307;261;1=SI;CA;White fir;NA
4308;221;3=UR;CA;Ponderosa pine;Understory Reinitiation (3)
4309;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4310;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4311;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4312;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4313;368;5=OS;CA;Misc. western softwoods;Old Forest Single Stratum (5)
4315;304;6=OM;CA;Western redcedar;Old Forest Multistrata (6)
4317;261;5=OS;CA;White fir;Old Forest Single Stratum (5)
4318;201;1=SI;CA;Douglas-fir;NA
4321;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
4322;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
4323;201;5=OS;CA;Douglas-fir;Old Forest Single Stratum (5)
4324;261;2=SE;CA;White fir;Stem Exclusion (2)
4325;261;1=SI;CA;White fir;NA
4326;261;1=SI;CA;White fir;NA
4327;261;2=SE;CA;White fir;Stem Exclusion (2)
4329;996;2=SE;CA;NA;Stem Exclusion (2)
4330;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4331;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4333;996;3=UR;CA;NA;Understory Reinitiation (3)
4334;201;5=OS;CA;Douglas-fir;Old Forest Single Stratum (5)
4338;301;3=UR;CA;Western hemlock;Understory Reinitiation (3)
4339;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4340;201;5=OS;CA;Douglas-fir;Old Forest Single Stratum (5)
4341;201;6=OM;CA;Douglas-fir;Old Forest Multistrata (6)
4342;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4344;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4345;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4347;261;2=SE;CA;White fir;Stem Exclusion (2)
4349;368;3=UR;CA;Misc. western softwoods;Understory Reinitiation (3)
4350;304;2=SE;CA;Western redcedar;Stem Exclusion (2)
4351;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4353;996;2=SE;CA;NA;Stem Exclusion (2)
4354;996;2=SE;CA;NA;Stem Exclusion (2)
4355;201;5=OS;CA;Douglas-fir;Old Forest Single Stratum (5)
4356;999;NA;CA;NA;NA
4357;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4358;261;1=SI;CA;White fir;NA
4359;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4362;221;1=SI;CA;Ponderosa pine;NA
4363;221;5=OS;CA;Ponderosa pine;Old Forest Single Stratum (5)
4365;996;1=SI;CA;NA;NA
4367;996;3=UR;CA;NA;Understory Reinitiation (3)
4368;221;6=OM;CA;Ponderosa pine;Old Forest Multistrata (6)
4369;221;3=UR;CA;Ponderosa pine;Understory Reinitiation (3)
4370;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4372;997;6=OM;CA;NA;Old Forest Multistrata (6)
4373;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4374;996;2=SE;CA;NA;Stem Exclusion (2)
4375;901;2=SE;CA;Aspen;Stem Exclusion (2)
4376;996;1=SI;CA;NA;NA
4378;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4379;996;2=SE;CA;NA;Stem Exclusion (2)
4381;996;2=SE;CA;NA;Stem Exclusion (2)
4382;901;1=SI;CA;Aspen;NA
4384;997;2=SE;CA;NA;Stem Exclusion (2)
4385;901;1=SI;CA;Aspen;NA
4386;901;2=SE;CA;Aspen;Stem Exclusion (2)
4388;997;2=SE;CA;NA;Stem Exclusion (2)
4389;901;1=SI;CA;Aspen;NA
4390;996;3=UR;CA;NA;Understory Reinitiation (3)
4391;996;3=UR;CA;NA;Understory Reinitiation (3)
4393;997;2=SE;CA;NA;Stem Exclusion (2)
4395;996;2=SE;CA;NA;Stem Exclusion (2)
4396;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4398;997;1=SI;CA;NA;NA
4400;996;3=UR;CA;NA;Understory Reinitiation (3)
4401;997;3=UR;CA;NA;Understory Reinitiation (3)
4402;996;3=UR;CA;NA;Understory Reinitiation (3)
4403;996;3=UR;CA;NA;Understory Reinitiation (3)
4405;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4408;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4409;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4410;996;2=SE;CA;NA;Stem Exclusion (2)
4411;999;0=BG;CA;NA;Bare Ground (0)
4413;999;1=SI;CA;NA;NA
4415;996;2=SE;CA;NA;Stem Exclusion (2)
4416;901;2=SE;CA;Aspen;Stem Exclusion (2)
4417;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4418;997;1=SI;CA;NA;NA
4419;996;3=UR;CA;NA;Understory Reinitiation (3)
4420;997;3=UR;CA;NA;Understory Reinitiation (3)
4421;996;3=UR;CA;NA;Understory Reinitiation (3)
4423;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4425;996;2=SE;CA;NA;Stem Exclusion (2)
4427;999;1=SI;CA;NA;NA
4429;901;2=SE;CA;Aspen;Stem Exclusion (2)
4430;709;1=SI;CA;Cottonwood / willow;NA
4431;996;2=SE;CA;NA;Stem Exclusion (2)
4432;996;3=UR;CA;NA;Understory Reinitiation (3)
4435;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4438;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4440;996;2=SE;CA;NA;Stem Exclusion (2)
4444;996;2=SE;CA;NA;Stem Exclusion (2)
4445;996;2=SE;CA;NA;Stem Exclusion (2)
4446;996;2=SE;CA;NA;Stem Exclusion (2)
4449;997;1=SI;CA;NA;NA
4451;996;3=UR;CA;NA;Understory Reinitiation (3)
4454;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4459;901;2=SE;CA;Aspen;Stem Exclusion (2)
4461;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4465;901;1=SI;CA;Aspen;NA
4467;996;3=UR;CA;NA;Understory Reinitiation (3)
4468;997;2=SE;CA;NA;Stem Exclusion (2)
4470;996;3=UR;CA;NA;Understory Reinitiation (3)
4473;999;1=SI;CA;NA;NA
4474;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4477;996;2=SE;CA;NA;Stem Exclusion (2)
4478;996;3=UR;CA;NA;Understory Reinitiation (3)
4481;996;2=SE;CA;NA;Stem Exclusion (2)
4482;996;2=SE;CA;NA;Stem Exclusion (2)
4483;281;1=SI;CA;Lodgepole pine;NA
4484;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4487;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
4488;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4489;367;1=SI;CA;Whitebark pine;NA
4490;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4494;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
4495;281;1=SI;CA;Lodgepole pine;NA
4496;281;1=SI;CA;Lodgepole pine;NA
4498;281;1=SI;CA;Lodgepole pine;NA
4500;367;1=SI;CA;Whitebark pine;NA
4502;999;0=BG;CA;NA;Bare Ground (0)
4503;367;1=SI;CA;Whitebark pine;NA
4505;999;0=BG;CA;NA;Bare Ground (0)
4506;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
4507;367;3=UR;CA;Whitebark pine;Understory Reinitiation (3)
4508;367;3=UR;CA;Whitebark pine;Understory Reinitiation (3)
4512;367;2=SE;CA;Whitebark pine;Stem Exclusion (2)
4514;281;1=SI;CA;Lodgepole pine;NA
4518;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
4519;999;1=SI;CA;NA;NA
4520;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4521;281;1=SI;CA;Lodgepole pine;NA
4523;221;1=SI;CA;Ponderosa pine;NA
4524;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4527;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4530;999;NA;CA;NA;NA
4531;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4532;996;2=SE;CA;NA;Stem Exclusion (2)
4534;996;3=UR;CA;NA;Understory Reinitiation (3)
4537;996;3=UR;CA;NA;Understory Reinitiation (3)
4539;996;2=SE;CA;NA;Stem Exclusion (2)
4540;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4541;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4542;281;1=SI;CA;Lodgepole pine;NA
4543;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
4544;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4546;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4548;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4550;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4551;996;2=SE;CA;NA;Stem Exclusion (2)
4552;996;2=SE;CA;NA;Stem Exclusion (2)
4554;999;1=SI;CA;NA;NA
4557;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4558;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4559;221;1=SI;CA;Ponderosa pine;NA
4560;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4561;221;3=UR;CA;Ponderosa pine;Understory Reinitiation (3)
4562;281;1=SI;CA;Lodgepole pine;NA
4563;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4566;368;1=SI;CA;Misc. western softwoods;NA
4567;996;2=SE;CA;NA;Stem Exclusion (2)
4568;281;1=SI;CA;Lodgepole pine;NA
4569;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4570;281;1=SI;CA;Lodgepole pine;NA
4572;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
4573;996;6=OM;CA;NA;Old Forest Multistrata (6)
4577;301;1=SI;CA;Western hemlock;NA
4578;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4579;999;1=SI;CA;NA;NA
4580;996;3=UR;CA;NA;Understory Reinitiation (3)
4585;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4586;996;2=SE;CA;NA;Stem Exclusion (2)
4587;996;1=SI;CA;NA;NA
4589;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4592;281;1=SI;CA;Lodgepole pine;NA
4594;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
4595;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
4598;996;2=SE;CA;NA;Stem Exclusion (2)
4599;281;6=OM;CA;Lodgepole pine;Old Forest Multistrata (6)
4602;368;3=UR;CA;Misc. western softwoods;Understory Reinitiation (3)
4603;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
4605;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4607;996;2=SE;CA;NA;Stem Exclusion (2)
4609;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
4614;201;1=SI;CA;Douglas-fir;NA
4615;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
4616;996;2=SE;CA;NA;Stem Exclusion (2)
4618;996;2=SE;CA;NA;Stem Exclusion (2)
4621;996;1=SI;CA;NA;NA
4622;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4623;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4624;261;1=SI;CA;White fir;NA
4627;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
4629;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4630;996;3=UR;CA;NA;Understory Reinitiation (3)
4631;999;1=SI;CA;NA;NA
4635;368;3=UR;CA;Misc. western softwoods;Understory Reinitiation (3)
4643;281;1=SI;CA;Lodgepole pine;NA
4644;281;1=SI;CA;Lodgepole pine;NA
4645;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4646;996;2=SE;CA;NA;Stem Exclusion (2)
4647;368;3=UR;CA;Misc. western softwoods;Understory Reinitiation (3)
4649;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4650;996;2=SE;CA;NA;Stem Exclusion (2)
4651;999;1=SI;CA;NA;NA
4652;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4653;996;2=SE;CA;NA;Stem Exclusion (2)
4654;996;2=SE;CA;NA;Stem Exclusion (2)
4655;996;2=SE;CA;NA;Stem Exclusion (2)
4656;281;1=SI;CA;Lodgepole pine;NA
4657;996;2=SE;CA;NA;Stem Exclusion (2)
4659;901;1=SI;CA;Aspen;NA
4661;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4663;901;1=SI;CA;Aspen;NA
4664;901;1=SI;CA;Aspen;NA
4665;901;1=SI;CA;Aspen;NA
4666;901;2=SE;CA;Aspen;Stem Exclusion (2)
4669;901;3=UR;CA;Aspen;Understory Reinitiation (3)
4670;901;1=SI;CA;Aspen;NA
4674;901;1=SI;CA;Aspen;NA
4675;996;1=SI;CA;NA;NA
4677;999;1=SI;CA;NA;NA
4678;996;2=SE;CA;NA;Stem Exclusion (2)
4680;221;3=UR;CA;Ponderosa pine;Understory Reinitiation (3)
4682;221;1=SI;CA;Ponderosa pine;NA
4684;221;2=SE;CA;Ponderosa pine;Stem Exclusion (2)
4686;281;2=SE;CA;Lodgepole pine;Stem Exclusion (2)
4687;368;2=SE;CA;Misc. western softwoods;Stem Exclusion (2)
4688;201;2=SE;CA;Douglas-fir;Stem Exclusion (2)
4689;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4690;201;3=UR;CA;Douglas-fir;Understory Reinitiation (3)
4691;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
4692;281;1=SI;CA;Lodgepole pine;NA
4693;999;1=SI;CA;NA;NA
4694;281;1=SI;CA;Lodgepole pine;NA
4695;999;1=SI;CA;NA;NA
4696;281;3=UR;CA;Lodgepole pine;Understory Reinitiation (3)
4697;281;1=SI;CA;Lodgepole pine;NA
